epoch,train_loss,train_f1,val_loss,val_P,val_R,val_F1,test_loss,test_P,test_R,test_F1
1,1.7298610381444526,0.6735219301488939,0.6061354205012321,0.8670845849480389,0.8670845849480389,0.8670845844480388,0.8288308382034302,0.8339645540955021,0.8339645540955021,0.833964553595502
2,0.38793270857545364,0.9164441886238861,0.24800314009189606,0.944533421036064,0.944533421036064,0.9445334205360639,0.4429401457309723,0.9087064246753374,0.9087064246753374,0.9087064241753373
3,0.20057868765726522,0.9562962480978557,0.17996390163898468,0.9576504960932674,0.9576504960932674,0.9576504955932673,0.3343099355697632,0.9319059230762583,0.9319059230762583,0.9319059225762583
4,0.11808087243878318,0.9750446882145929,0.15534044429659843,0.9634577253098795,0.9634577253098795,0.9634577248098795,0.3133170966591154,0.9351642716257694,0.9351642716257694,0.9351642711257694
5,0.08257408158845753,0.982248705406494,0.1250433698296547,0.967560016121199,0.967560016121199,0.967560015621199,0.2872833417994635,0.9404052120105204,0.9404052120105204,0.9404052115105204
6,0.057303517119103954,0.9884249898024876,0.11180929653346539,0.9709499775813433,0.9709499775813433,0.9709499770813432,0.27801539429596495,0.9446546332975446,0.9446546332975446,0.9446546327975446
7,0.040758762728471516,0.9922198656536717,0.10395568516105413,0.9750499959959207,0.9750499959959207,0.9750499954959206,0.2893061361142567,0.9441255585719749,0.9441255585719749,0.9441255580719748
8,0.03009206657454827,0.9946513514088309,0.09418229106813669,0.9779591444624804,0.9779591444624804,0.9779591439624804,0.2826161171708788,0.9467210317635185,0.9467210317635185,0.9467210312635185
